timestep,adopted,alpha
0,0.0,0.6
1,0.0,0.6
2,0.0,0.6
3,0.0,0.6
4,0.0,0.6
5,0.0,0.6
6,0.0,0.6
7,0.0,0.6
8,0.0,0.6
9,0.0,0.6
10,0.0,0.6
11,0.0,0.6
12,0.0,0.6
13,0.0,0.6
14,0.0,0.6
15,0.0,0.6
16,0.0,0.6
17,0.0,0.6
18,0.0,0.6
19,0.0,0.6
20,0.0,0.6
21,0.0006666666666666666,0.6
22,0.0026666666666666666,0.6
23,0.004666666666666667,0.6
24,0.007333333333333333,0.6
25,0.010666666666666666,0.6
26,0.01933333333333333,0.6
27,0.028,0.6
28,0.038000000000000006,0.6
29,0.05533333333333333,0.6
30,0.08066666666666666,0.6
31,0.11466666666666667,0.6
32,0.15,0.6
33,0.192,0.6
34,0.24266666666666667,0.6
35,0.29333333333333333,0.6
36,0.3466666666666667,0.6
37,0.394,0.6
38,0.4593333333333333,0.6
39,0.5153333333333333,0.6
40,0.5733333333333334,0.6
41,0.6426666666666667,0.6
42,0.702,0.6
43,0.7579999999999999,0.6
44,0.8013333333333333,0.6
45,0.84,0.6
46,0.8786666666666666,0.6
47,0.9033333333333334,0.6
48,0.9220689655172414,0.6
49,0.9358620689655173,0.6
50,0.9507692307692307,0.6
51,0.9633333333333334,0.6
52,0.968,0.6
53,0.9600000000000001,0.6
54,0.9642857142857143,0.6
55,0.97,0.6
56,0.98,0.6
57,0.9844444444444443,0.6
58,0.9866666666666667,0.6
59,0.98,0.6
60,0.9866666666666667,0.6
61,0.99,0.6
62,0.98,0.6
63,0.98,0.6
64,0.98,0.6
65,1.0,0.6
0,0.0,0.3
1,0.0,0.3
2,0.0,0.3
3,0.0,0.3
4,0.0,0.3
5,0.0,0.3
6,0.0,0.3
7,0.0,0.3
8,0.0,0.3
9,0.0,0.3
10,0.0,0.3
11,0.0,0.3
12,0.0,0.3
13,0.0,0.3
14,0.0,0.3
15,0.0,0.3
16,0.0,0.3
17,0.0,0.3
18,0.0,0.3
19,0.0,0.3
20,0.0,0.3
21,0.0,0.3
22,0.0,0.3
23,0.0,0.3
24,0.0,0.3
25,0.0,0.3
26,0.0,0.3
27,0.0,0.3
28,0.0,0.3
29,0.0,0.3
30,0.0,0.3
31,0.0,0.3
32,0.0,0.3
33,0.0013333333333333333,0.3
34,0.0033333333333333335,0.3
35,0.004666666666666667,0.3
36,0.008,0.3
37,0.013333333333333334,0.3
38,0.01933333333333333,0.3
39,0.034666666666666665,0.3
40,0.043333333333333335,0.3
41,0.066,0.3
42,0.08800000000000001,0.3
43,0.11333333333333333,0.3
44,0.146,0.3
45,0.17933333333333332,0.3
46,0.232,0.3
47,0.2826666666666667,0.3
48,0.33399999999999996,0.3
49,0.39333333333333337,0.3
50,0.46,0.3
51,0.528,0.3
