timestep,adopted,alpha
2,0.0,1.0
3,0.0,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
11,0.0,1.0
12,0.0,1.0
13,0.0,1.0
14,0.0,1.0
15,0.0,1.0
16,0.0,1.0
17,0.0,1.0
18,0.0,1.0
19,0.0,1.0
20,0.0,1.0
21,0.0,1.0
22,0.0,1.0
23,0.0,1.0
24,0.0,1.0
25,0.0006666666666666666,1.0
26,0.0013333333333333333,1.0
27,0.002,1.0
28,0.0026666666666666666,1.0
29,0.0026666666666666666,1.0
30,0.005333333333333333,1.0
31,0.006666666666666667,1.0
32,0.008666666666666666,1.0
33,0.014666666666666666,1.0
34,0.018000000000000002,1.0
35,0.02266666666666667,1.0
36,0.028666666666666667,1.0
37,0.036000000000000004,1.0
38,0.052000000000000005,1.0
39,0.05733333333333333,1.0
40,0.06733333333333333,1.0
41,0.08266666666666667,1.0
42,0.098,1.0
43,0.11333333333333333,1.0
44,0.13466666666666666,1.0
45,0.15866666666666665,1.0
46,0.18533333333333332,1.0
47,0.20866666666666667,1.0
48,0.23,1.0
49,0.262,1.0
50,0.2833333333333333,1.0
51,0.306,1.0
52,0.33266666666666667,1.0
53,0.362,1.0
54,0.38866666666666666,1.0
55,0.40800000000000003,1.0
56,0.44,1.0
57,0.4653333333333334,1.0
58,0.49733333333333335,1.0
59,0.5246666666666667,1.0
60,0.5566666666666666,1.0
61,0.5833333333333334,1.0
62,0.6106666666666667,1.0
63,0.6353333333333333,1.0
64,0.666,1.0
65,0.6886666666666666,1.0
66,0.7113333333333334,1.0
67,0.734,1.0
68,0.7566666666666666,1.0
69,0.7773333333333333,1.0
70,0.7966666666666666,1.0
71,0.8160000000000001,1.0
72,0.8373333333333334,1.0
73,0.858,1.0
74,0.8666666666666667,1.0
75,0.8806666666666667,1.0
76,0.8913333333333333,1.0
77,0.9053333333333333,1.0
78,0.9193333333333332,1.0
79,0.9266666666666666,1.0
80,0.9333333333333333,1.0
81,0.9379310344827586,1.0
82,0.9475862068965517,1.0
83,0.95,1.0
84,0.9542857142857143,1.0
85,0.9592857142857143,1.0
86,0.9666666666666666,1.0
87,0.9672,1.0
88,0.9695652173913044,1.0
89,0.969,1.0
90,0.9705263157894738,1.0
91,0.9722222222222222,1.0
92,0.9752941176470588,1.0
93,0.9773333333333334,1.0
94,0.9799999999999999,1.0
95,0.98,1.0
96,0.9800000000000001,1.0
97,0.9800000000000001,1.0
98,0.9800000000000001,1.0
99,0.9800000000000001,1.0
100,0.984,1.0
101,0.985,1.0
102,0.9833333333333334,1.0
103,0.984,1.0
104,0.98,1.0
105,0.98,1.0
106,0.98,1.0
107,0.98,1.0
108,0.99,1.0
109,0.98,1.0
110,0.99,1.0
111,0.98,1.0
112,0.98,1.0
113,0.98,1.0
114,0.98,1.0
115,0.98,1.0
116,0.98,1.0
117,0.98,1.0
118,0.98,1.0
119,1.0,1.0
0,0.0,0.5
1,0.0,0.5
2,0.0,0.5
3,0.0,0.5
4,0.0,0.5
5,0.0,0.5
6,0.0,0.5
7,0.0,0.5
8,0.0,0.5
9,0.0,0.5
10,0.0,0.5
11,0.0,0.5
12,0.0,0.5
13,0.0,0.5
14,0.0,0.5
15,0.0,0.5
16,0.0,0.5
17,0.0,0.5
18,0.0,0.5
19,0.0,0.5
20,0.0,0.5
21,0.0,0.5
22,0.0,0.5
23,0.0,0.5
24,0.0,0.5
25,0.0,0.5
26,0.0,0.5
27,0.0,0.5
28,0.0,0.5
29,0.0,0.5
30,0.0,0.5
31,0.0,0.5
32,0.0,0.5
33,0.0006666666666666666,0.5
34,0.0033333333333333335,0.5
35,0.0033333333333333335,0.5
36,0.004,0.5
37,0.005333333333333333,0.5
38,0.006666666666666667,0.5
39,0.01,0.5
40,0.012666666666666666,0.5
41,0.02266666666666667,0.5
42,0.03333333333333333,0.5
43,0.048666666666666664,0.5
44,0.06133333333333333,0.5
45,0.08133333333333333,0.5
46,0.09933333333333333,0.5
47,0.12000000000000001,0.5
48,0.15,0.5
49,0.18733333333333332,0.5
50,0.23133333333333334,0.5
51,0.26333333333333336,0.5
52,0.30533333333333335,0.5
53,0.35,0.5
54,0.404,0.5
55,0.46199999999999997,0.5
56,0.5173333333333333,0.5
57,0.5700000000000001,0.5
58,0.62,0.5
59,0.6693333333333332,0.5
60,0.7113333333333334,0.5
61,0.7493333333333333,0.5
62,0.7873333333333333,0.5
63,0.8186666666666667,0.5
64,0.8533333333333334,0.5
65,0.8786666666666666,0.5
66,0.896,0.5
67,0.9179999999999999,0.5
68,0.9242857142857143,0.5
69,0.9357142857142857,0.5
70,0.9474074074074074,0.5
71,0.9567999999999999,0.5
72,0.9648,0.5
73,0.9716666666666667,0.5
74,0.9745454545454545,0.5
75,0.9800000000000001,0.5
76,0.9786666666666667,0.5
77,0.9846153846153847,0.5
78,0.98,0.5
79,0.985,0.5
80,0.98,0.5
81,0.9866666666666667,0.5
82,0.985,0.5
83,0.9866666666666667,0.5
84,0.99,0.5
85,1.0,0.5
0,0.0,0.6
1,0.0,0.6
2,0.0,0.6
3,0.0,0.6
4,0.0,0.6
5,0.0,0.6
6,0.0,0.6
7,0.0,0.6
8,0.0,0.6
9,0.0,0.6
10,0.0,0.6
11,0.0,0.6
12,0.0,0.6
13,0.0,0.6
14,0.0,0.6
15,0.0,0.6
16,0.0,0.6
17,0.0,0.6
18,0.0,0.6
19,0.0,0.6
20,0.0,0.6
21,0.0,0.6
22,0.0,0.6
23,0.0,0.6
24,0.0,0.6
25,0.0,0.6
26,0.0,0.6
27,0.0,0.6
28,0.0,0.6
29,0.0,0.6
30,0.0006666666666666666,0.6
31,0.0006666666666666666,0.6
32,0.0006666666666666666,0.6
33,0.0006666666666666666,0.6
34,0.0006666666666666666,0.6
35,0.002,0.6
36,0.002,0.6
37,0.004,0.6
38,0.005333333333333333,0.6
39,0.01,0.6
40,0.012,0.6
41,0.021333333333333333,0.6
42,0.032,0.6
43,0.050666666666666665,0.6
44,0.06666666666666667,0.6
45,0.08533333333333333,0.6
46,0.10600000000000001,0.6
47,0.126,0.6
48,0.15466666666666665,0.6
49,0.194,0.6
50,0.2353333333333333,0.6
51,0.2753333333333333,0.6
52,0.314,0.6
53,0.3706666666666667,0.6
54,0.41133333333333333,0.6
55,0.45266666666666666,0.6
56,0.494,0.6
57,0.544,0.6
58,0.5926666666666667,0.6
59,0.6426666666666667,0.6
60,0.682,0.6
61,0.7266666666666667,0.6
62,0.7673333333333333,0.6
63,0.7986666666666667,0.6
64,0.828,0.6
65,0.8533333333333334,0.6
66,0.8726666666666667,0.6
67,0.8946666666666666,0.6
68,0.912,0.6
69,0.9214285714285715,0.6
70,0.937142857142857,0.6
71,0.9464285714285714,0.6
72,0.9535714285714285,0.6
73,0.9592592592592593,0.6
74,0.9658333333333333,0.6
75,0.969,0.6
76,0.9747368421052631,0.6
77,0.975,0.6
78,0.9813333333333333,0.6
79,0.9781818181818182,0.6
80,0.978,0.6
81,0.986,0.6
82,0.9833333333333334,0.6
83,0.985,0.6
84,0.98,0.6
85,0.9866666666666667,0.6
86,0.99,0.6
87,0.98,0.6
88,0.98,0.6
89,0.98,0.6
90,0.98,0.6
91,0.98,0.6
92,0.98,0.6
93,0.98,0.6
94,0.98,0.6
95,0.98,0.6
96,1.0,0.6
0,0.0,0.9
1,0.0,0.9
2,0.0,0.9
3,0.0,0.9
4,0.0,0.9
5,0.0,0.9
6,0.0,0.9
7,0.0,0.9
8,0.0,0.9
9,0.0,0.9
10,0.0,0.9
11,0.0,0.9
12,0.0,0.9
13,0.0,0.9
14,0.0,0.9
15,0.0,0.9
16,0.0,0.9
17,0.0,0.9
18,0.0,0.9
19,0.0,0.9
20,0.0,0.9
21,0.0,0.9
22,0.0,0.9
23,0.0,0.9
24,0.0006666666666666666,0.9
25,0.0006666666666666666,0.9
26,0.0006666666666666666,0.9
27,0.0006666666666666666,0.9
28,0.0006666666666666666,0.9
29,0.0013333333333333333,0.9
30,0.0013333333333333333,0.9
31,0.0013333333333333333,0.9
32,0.0013333333333333333,0.9
33,0.0026666666666666666,0.9
34,0.006666666666666667,0.9
35,0.009333333333333334,0.9
36,0.013333333333333334,0.9
37,0.016666666666666666,0.9
38,0.024666666666666667,0.9
39,0.028666666666666667,0.9
40,0.04,0.9
41,0.048666666666666664,0.9
42,0.058666666666666666,0.9
43,0.07200000000000001,0.9
44,0.08666666666666667,0.9
45,0.10200000000000001,0.9
46,0.12133333333333333,0.9
47,0.13933333333333334,0.9
48,0.162,0.9
49,0.186,0.9
50,0.21533333333333332,0.9
51,0.25533333333333336,0.9
52,0.29266666666666663,0.9
53,0.32133333333333336,0.9
54,0.36133333333333334,0.9
55,0.396,0.9
56,0.428,0.9
57,0.468,0.9
58,0.49466666666666664,0.9
59,0.5306666666666666,0.9
60,0.5566666666666666,0.9
61,0.59,0.9
62,0.6186666666666666,0.9
63,0.6493333333333333,0.9
64,0.6733333333333333,0.9
65,0.6993333333333334,0.9
66,0.7313333333333334,0.9
67,0.768,0.9
68,0.788,0.9
69,0.8113333333333334,0.9
70,0.83,0.9
71,0.8473333333333334,0.9
72,0.8573333333333333,0.9
73,0.878,0.9
74,0.896,0.9
75,0.9079999999999999,0.9
76,0.9179999999999999,0.9
77,0.9289655172413793,0.9
78,0.9386206896551724,0.9
79,0.9414285714285714,0.9
80,0.9450000000000001,0.9
81,0.9518518518518518,0.9
82,0.957037037037037,0.9
83,0.9608,0.9
84,0.9664,0.9
85,0.9654545454545453,0.9
86,0.9704761904761904,0.9
87,0.9719999999999999,0.9
88,0.9733333333333333,0.9
89,0.9764705882352942,0.9
90,0.97875,0.9
91,0.9813333333333333,0.9
92,0.98,0.9
93,0.98,0.9
94,0.984,0.9
95,0.9771428571428571,0.9
96,0.9771428571428571,0.9
97,0.9799999999999999,0.9
98,0.98,0.9
99,0.984,0.9
100,0.98,0.9
101,0.985,0.9
102,0.9866666666666667,0.9
103,0.99,0.9
104,0.98,0.9
105,0.98,0.9
106,0.98,0.9
107,0.98,0.9
108,0.98,0.9
109,1.0,0.9
