timestep,adopted,alpha
0,0.0,1.0
1,0.0,1.0
2,0.0,1.0
3,0.0,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
11,0.0006666666666666666,1.0
12,0.0006666666666666666,1.0
13,0.0006666666666666666,1.0
14,0.0006666666666666666,1.0
15,0.0006666666666666666,1.0
16,0.0013333333333333333,1.0
17,0.002,1.0
18,0.004666666666666667,1.0
19,0.006,1.0
20,0.009333333333333334,1.0
21,0.017333333333333333,1.0
22,0.021333333333333333,1.0
23,0.03133333333333333,1.0
24,0.042666666666666665,1.0
25,0.05266666666666667,1.0
26,0.07333333333333333,1.0
27,0.09866666666666667,1.0
28,0.12200000000000001,1.0
29,0.15333333333333335,1.0
30,0.182,1.0
31,0.214,1.0
32,0.258,1.0
33,0.3026666666666667,1.0
34,0.3313333333333333,1.0
35,0.37466666666666665,1.0
36,0.422,1.0
37,0.4713333333333333,1.0
38,0.5113333333333333,1.0
39,0.5559999999999999,1.0
40,0.5913333333333333,1.0
41,0.6226666666666667,1.0
42,0.6546666666666667,1.0
43,0.6799999999999999,1.0
44,0.716,1.0
45,0.7419999999999999,1.0
46,0.7686666666666666,1.0
47,0.7953333333333333,1.0
48,0.8158620689655173,1.0
49,0.8358620689655172,1.0
50,0.8586206896551724,1.0
51,0.8827586206896553,1.0
52,0.8944827586206897,1.0
53,0.9075862068965518,1.0
54,0.92,1.0
55,0.9296551724137931,1.0
56,0.9379310344827586,1.0
57,0.9434482758620689,1.0
58,0.9451851851851851,1.0
59,0.9503703703703704,1.0
60,0.9548148148148149,1.0
61,0.9592307692307691,1.0
62,0.957391304347826,1.0
63,0.9608695652173912,1.0
64,0.9645454545454545,1.0
65,0.9647619047619047,1.0
66,0.968,1.0
67,0.9677777777777776,1.0
68,0.9711111111111111,1.0
69,0.9717647058823529,1.0
70,0.9775,1.0
71,0.975,1.0
72,0.974,1.0
73,0.9879999999999999,1.0
