,story_item,timestep,LastAdoptionPropensity,type
0,0,47.2154,0.14904508648157508,lt_linear
1,1,46.87520000000001,0.18447459467403768,lt_linear
2,2,46.126000000000005,0.20321492390269238,lt_linear
3,3,47.1784,0.2154801345883641,lt_linear
4,4,46.854,0.22416140155189157,lt_linear
5,5,46.583999999999996,0.2304843774683989,lt_linear
6,6,47.007600000000004,0.23507667075778446,lt_linear
7,7,46.8392,0.2382928675088579,lt_linear
8,8,47.2286,0.24034085609679368,lt_linear
9,9,47.0752,0.2413381413508564,lt_linear
10,10,46.515,0.2413381413508564,lt_linear
11,11,46.190200000000004,0.24034085609679368,lt_linear
12,12,46.6056,0.2382928675088579,lt_linear
13,13,46.0588,0.23507667075778446,lt_linear
14,14,46.51520000000001,0.2304843774683989,lt_linear
15,15,46.774800000000006,0.22416140155189157,lt_linear
16,16,46.21939999999999,0.2154801345883641,lt_linear
17,17,47.691,0.20321492390269238,lt_linear
18,18,47.625600000000006,0.18447459467403773,lt_linear
19,19,47.8,0.14904508648157508,lt_linear
20,0,44.4238,0.36296920551961664,lt_binary
21,1,44.3536,0.42189476711569096,lt_binary
22,2,44.2316,0.378716404808932,lt_binary
23,3,43.892399999999995,0.40335625845136713,lt_binary
24,4,45.063599999999994,0.3557175958002061,lt_binary
25,5,44.428599999999996,0.31561446181158503,lt_binary
26,6,45.6742,0.31561446181158503,lt_binary
27,7,44.847,0.3283846822223663,lt_binary
28,8,44.510600000000004,0.3283846822223663,lt_binary
29,9,45.5754,0.26825383635901323,lt_binary
30,10,46.4032,0.234423470591752,lt_binary
31,11,47.2592,0.2147305607612548,lt_binary
32,12,45.9842,0.2147305607612548,lt_binary
33,13,45.7954,0.2147305607612548,lt_binary
34,14,46.669799999999995,0.2147305607612548,lt_binary
35,15,46.6634,0.22119530017368647,lt_binary
36,16,45.493599999999994,0.22119530017368647,lt_binary
37,17,46.2126,0.22119530017368647,lt_binary
38,18,46.5904,0.22119530017368647,lt_binary
39,19,45.8526,0.1988154542715119,lt_binary
40,0,37.5848,0.6626218371700825,lt_random
41,1,37.1312,0.7464939833376623,lt_random
42,2,36.964,0.8347951298093854,lt_random
43,3,37.041199999999996,0.7711824455558166,lt_random
44,4,37.4842,0.8153266136030829,lt_random
45,5,37.1154,0.7711824455558166,lt_random
46,6,37.8124,0.6921095043017883,lt_random
47,7,37.211,0.7941296281990528,lt_random
48,8,36.8132,0.7464939833376623,lt_random
49,9,37.2602,0.7711824455558166,lt_random
50,10,37.5732,0.6626218371700825,lt_random
51,11,37.102599999999995,0.7711824455558166,lt_random
52,12,36.9552,0.8153266136030829,lt_random
53,13,37.1738,0.7711824455558166,lt_random
54,14,36.928000000000004,0.7941296281990528,lt_random
55,15,37.7894,0.6626218371700825,lt_random
56,16,37.352399999999996,0.7201085268004914,lt_random
57,17,36.7614,0.7711824455558166,lt_random
58,18,36.541599999999995,0.8347951298093854,lt_random
59,19,37.5444,0.7464939833376623,lt_random
60,0,47.5312,0.14904508648157508,sw_linear
61,1,46.803599999999996,0.18447459467403768,sw_linear
62,2,46.389799999999994,0.20321492390269238,sw_linear
63,3,46.4586,0.2154801345883641,sw_linear
64,4,46.8182,0.22416140155189157,sw_linear
65,5,46.4412,0.2304843774683989,sw_linear
